year,country.eci,ECI,eci.plus,continent,iso_3c
1964,Angola,-1.31753,-1.22675,af,AGO
1964,Cote d'Ivoire,-0.915735,-1.02821,af,CIV
1964,Cameroon,-1.12852,-0.889755,af,CMR
1964,Republic of the Congo,-0.930207,-0.898081,af,COG
1964,Algeria,-0.131416,0.090527,af,DZA
1964,Egypt,-0.221166,0.16942,af,EGY
1964,Ethiopia,-0.902296,-0.989268,af,ETH
1964,Gabon,-1.32597,-1.63186,af,GAB
1964,Ghana,-1.01263,-1.42815,af,GHA
1964,Guinea,-0.820637,-1.47287,af,GIN
1964,Kenya,-0.980498,-0.579247,af,KEN
1964,Morocco,-0.169306,-0.175655,af,MAR
1964,Madagascar,-0.973703,-0.96062,af,MDG
1964,Mozambique,-0.908401,-0.664449,af,MOZ
1964,Mauritania,-0.368982,-1.51008,af,MRT
1964,Nigeria,-1.47845,-1.34847,af,NGA
1964,Sudan,-1.35926,-1.41509,af,SDN
1964,Senegal,-0.622882,-0.887511,af,SEN
1964,Togo,-0.983611,-1.0983,af,TGO
1964,Tunisia,-0.262712,-0.214031,af,TUN
1964,Tanzania,-1.42834,-1.38131,af,TZA
1964,South Africa,-0.256571,0.179486,af,ZAF
1964,Zambia,-0.605599,-0.243483,af,ZMB
1964,China,0.554406,0.718776,as,CHN
1964,Hong Kong,1.32078,1.27428,as,HKG
1964,Indonesia,-1.16868,-0.867984,as,IDN
1964,India,-0.101997,0.304505,as,IND
1964,Iran,-0.627008,-0.609413,as,IRN
1964,Israel,0.914502,0.808423,as,ISR
1964,Jordan,0.288584,-0.181733,as,JOR
1964,Japan,2.05183,1.71506,as,JPN
1964,Cambodia,-0.650317,-0.607179,as,KHM
1964,South Korea,0.651934,0.492763,as,KOR
1964,Kuwait,-0.637334,-0.793065,as,KWT
1964,Lebanon,-0.132,0.389436,as,LBN
1964,Sri Lanka,-1.19702,-1.30777,as,LKA
1964,Burma,-0.855248,-1.41402,as,MMR
1964,Malaysia,-0.685239,-0.023749,as,MYS
1964,Oman,-0.152937,0.047546,as,OMN
1964,Pakistan,-0.381593,-0.039761,as,PAK
1964,Philippines,-0.51525,-0.701428,as,PHL
1964,Qatar,0.305953,-0.298863,as,QAT
1964,Saudi Arabia,-0.529598,-1.16081,as,SAU
1964,Singapore,0.399384,0.740139,as,SGP
1964,Syria,-0.67562,-0.145375,as,SYR
1964,Thailand,-0.901017,-0.849296,as,THA
1964,Turkey,-0.771236,-0.658223,as,TUR
1964,Vietnam,-0.518447,0.091582,as,VNM
1964,Albania,-0.162675,-0.370856,eu,ALB
1964,Austria,2.03892,1.70932,eu,AUT
1964,Belgium,1.64017,1.63623,eu,BEL
1964,Bulgaria,0.617459,0.68551,eu,BGR
1964,Switzerland,2.18665,1.90062,eu,CHE
1964,Germany,2.3398,1.97284,eu,DEU
1964,Denmark,1.43533,1.35771,eu,DNK
1964,Spain,0.593436,0.804249,eu,ESP
1964,Finland,1.47829,1.26094,eu,FIN
1964,France,1.79019,1.62361,eu,FRA
1964,United Kingdom,2.07395,1.8037,eu,GBR
1964,Greece,-0.052428,0.269637,eu,GRC
1964,Hungary,1.08002,1.20641,eu,HUN
1964,Ireland,0.940408,1.02769,eu,IRL
1964,Italy,1.81334,1.61934,eu,ITA
1964,Netherlands,1.37968,1.54242,eu,NLD
1964,Norway,1.43712,1.17101,eu,NOR
1964,Poland,1.04121,1.14844,eu,POL
1964,Portugal,0.994583,0.879606,eu,PRT
1964,Romania,0.280962,0.477438,eu,ROU
1964,Sweden,2.17513,1.69176,eu,SWE
1964,Canada,0.820749,1.32604,na,CAN
1964,Costa Rica,-0.019055,-0.243622,na,CRI
1964,Dominican Republic,-0.697067,-0.852803,na,DOM
1964,Guatemala,-0.206609,-0.102001,na,GTM
1964,Honduras,-0.245086,-0.417959,na,HND
1964,Jamaica,-0.168693,-0.485969,na,JAM
1964,Mexico,0.048574,0.485584,na,MEX
1964,Nicaragua,-0.714044,-0.971851,na,NIC
1964,Panama,0.892571,0.965501,na,PAN
1964,El Salvador,0.372131,0.350091,na,SLV
1964,Trinidad and Tobago,-0.368787,-0.38742,na,TTO
1964,United States,1.76765,1.7598,na,USA
1964,Australia,0.15691,0.829671,oc,AUS
1964,New Zealand,0.214995,0.314175,oc,NZL
1964,Argentina,-0.235528,0.220922,sa,ARG
1964,Bolivia,-0.712487,-1.60115,sa,BOL
1964,Brazil,-0.882551,-0.326706,sa,BRA
1964,Chile,-0.040221,0.101161,sa,CHL
1964,Colombia,-0.412196,-0.06072,sa,COL
1964,Ecuador,-0.389189,-0.916147,sa,ECU
1964,Peru,-0.867455,-0.588656,sa,PER
1964,Paraguay,-0.974517,-0.839423,sa,PRY
1964,Uruguay,0.16825,0.35008,sa,URY
1964,Venezuela,-0.145733,-0.530364,sa,VEN
1965,Angola,-1.21766,-0.917187,af,AGO
1965,Cote d'Ivoire,-0.718535,-1.13381,af,CIV
1965,Cameroon,-1.26389,-1.01505,af,CMR
1965,Republic of the Congo,-0.777529,-0.773318,af,COG
1965,Algeria,-0.248026,-0.002079,af,DZA
1965,Egypt,-0.255621,0.239141,af,EGY
1965,Ethiopia,-0.742513,-0.892821,af,ETH
1965,Gabon,-1.37709,-1.86881,af,GAB
1965,Ghana,-0.763002,-1.44044,af,GHA
1965,Guinea,-1.13762,-1.70992,af,GIN
1965,Kenya,-0.91973,-0.504714,af,KEN
1965,Morocco,-0.127142,-0.208913,af,MAR
1965,Madagascar,-1.00486,-0.991247,af,MDG
1965,Mozambique,-1.02569,-0.742794,af,MOZ
1965,Mauritania,-0.389639,-1.14217,af,MRT
1965,Nigeria,-1.55156,-1.33189,af,NGA
1965,Sudan,-1.38004,-1.3725,af,SDN
1965,Senegal,-0.621901,-0.950185,af,SEN
1965,Togo,-1.16107,-1.54624,af,TGO
1965,Tunisia,-0.25883,-0.3017,af,TUN
1965,Tanzania,-1.27937,-1.22363,af,TZA
1965,South Africa,-0.350745,0.156504,af,ZAF
1965,Zambia,-0.774049,-0.449371,af,ZMB
1965,Zimbabwe,-0.333738,-0.355383,af,ZWE
1965,China,0.523755,0.716809,as,CHN
1965,Hong Kong,1.23144,1.2851,as,HKG
1965,Indonesia,-1.27578,-0.808538,as,IDN
1965,India,-0.042813,0.367193,as,IND
1965,Iran,-0.662454,-0.582969,as,IRN
1965,Israel,0.989905,0.786277,as,ISR
1965,Jordan,0.348411,-0.130495,as,JOR
1965,Japan,1.93529,1.72026,as,JPN
1965,Cambodia,-0.73646,-0.667543,as,KHM
1965,South Korea,0.689753,0.68569,as,KOR
1965,Kuwait,-0.804301,-0.829374,as,KWT
1965,Lebanon,0.099963,0.393712,as,LBN
1965,Sri Lanka,-1.14666,-1.30448,as,LKA
1965,Burma,-1.0672,-1.3294,as,MMR
1965,Malaysia,-0.737625,-0.074069,as,MYS
1965,Oman,-0.567293,-0.011522,as,OMN
1965,Pakistan,-0.186295,0.015685,as,PAK
1965,Philippines,-0.610326,-0.693585,as,PHL
1965,Qatar,-0.149036,-0.385953,as,QAT
1965,Saudi Arabia,-0.67636,-0.905052,as,SAU
1965,Singapore,0.273399,0.56742,as,SGP
1965,Syria,-0.366523,-0.193911,as,SYR
1965,Thailand,-0.968943,-0.833269,as,THA
1965,Turkey,-0.693839,-0.65598,as,TUR
1965,Vietnam,-0.499506,-0.079726,as,VNM
1965,Albania,-0.144394,-0.454851,eu,ALB
1965,Austria,2.06916,1.73877,eu,AUT
1965,Belgium,1.66901,1.60983,eu,BEL
1965,Bulgaria,0.637412,0.616839,eu,BGR
1965,Switzerland,2.18988,1.89057,eu,CHE
1965,Germany,2.35278,1.94563,eu,DEU
1965,Denmark,1.46002,1.36862,eu,DNK
1965,Spain,0.584555,0.850426,eu,ESP
1965,Finland,1.41401,1.26943,eu,FIN
1965,France,1.76682,1.60833,eu,FRA
1965,United Kingdom,2.05671,1.79411,eu,GBR
1965,Greece,0.137747,0.264593,eu,GRC
1965,Hungary,1.18797,1.25591,eu,HUN
1965,Ireland,0.989011,1.00952,eu,IRL
1965,Italy,1.80755,1.61024,eu,ITA
1965,Netherlands,1.37785,1.51946,eu,NLD
1965,Norway,1.42403,1.14497,eu,NOR
1965,Poland,1.16368,1.16379,eu,POL
1965,Portugal,0.989054,0.810991,eu,PRT
1965,Romania,0.386979,0.540004,eu,ROU
1965,Sweden,2.06048,1.69363,eu,SWE
1965,Canada,0.718737,1.322,na,CAN
1965,Costa Rica,0.50225,0.444459,na,CRI
1965,Dominican Republic,-1.10972,-1.08001,na,DOM
1965,Guatemala,-0.009312,0.193042,na,GTM
1965,Honduras,-0.26032,-0.41478,na,HND
1965,Jamaica,-0.149621,-0.613417,na,JAM
1965,Mexico,0.088726,0.419394,na,MEX
1965,Nicaragua,-0.295313,-0.71195,na,NIC
1965,Panama,0.925952,0.822346,na,PAN
1965,El Salvador,0.354408,0.46244,na,SLV
1965,Trinidad and Tobago,-0.469977,-0.496116,na,TTO
1965,United States,1.78979,1.73623,na,USA
1965,Australia,0.191705,0.846778,oc,AUS
1965,New Zealand,0.276908,0.434093,oc,NZL
1965,Argentina,-0.138631,0.21709,sa,ARG
1965,Bolivia,-0.708527,-1.54682,sa,BOL
1965,Brazil,-0.904464,-0.144959,sa,BRA
1965,Chile,-0.096364,0.138815,sa,CHL
1965,Colombia,-0.244653,0.131376,sa,COL
1965,Ecuador,-0.456346,-1.05525,sa,ECU
1965,Peru,-0.735034,-0.679408,sa,PER
1965,Paraguay,-0.757384,-0.84692,sa,PRY
1965,Uruguay,0.265711,0.392643,sa,URY
1965,Venezuela,-0.29573,-0.589898,sa,VEN
1966,Angola,-1.17056,-0.927708,af,AGO
1966,Cote d'Ivoire,-0.998812,-1.21121,af,CIV
1966,Cameroon,-1.27345,-0.927492,af,CMR
1966,Republic of the Congo,-1.01512,-0.829238,af,COG
1966,Algeria,-0.298926,-0.139213,af,DZA
1966,Egypt,-0.121717,0.272907,af,EGY
1966,Ethiopia,-0.879627,-0.882983,af,ETH
1966,Gabon,-1.51319,-1.9758,af,GAB
1966,Ghana,-1.04538,-1.42432,af,GHA
1966,Guinea,-1.22868,-1.56746,af,GIN
1966,Kenya,-0.848143,-0.509537,af,KEN
1966,Morocco,-0.249372,-0.226295,af,MAR
1966,Madagascar,-1.00572,-1.04488,af,MDG
1966,Mozambique,-0.925499,-0.73667,af,MOZ
1966,Mauritania,-1.11776,-1.21174,af,MRT
1966,Nigeria,-1.58372,-1.48252,af,NGA
1966,Sudan,-1.20651,-1.34011,af,SDN
1966,Senegal,-0.546367,-1.13266,af,SEN
1966,Togo,-1.16147,-1.67383,af,TGO
1966,Tunisia,-0.181228,-0.340066,af,TUN
1966,Tanzania,-1.33051,-1.27224,af,TZA
1966,South Africa,-0.246495,0.325466,af,ZAF
1966,Zambia,-0.541125,-0.413233,af,ZMB
1966,Zimbabwe,0.732448,0.657547,af,ZWE
1966,China,0.475237,0.674736,as,CHN
1966,Hong Kong,1.29783,1.21052,as,HKG
1966,Indonesia,-1.23754,-0.829787,as,IDN
1966,India,0.027834,0.362479,as,IND
1966,Iran,-0.774142,-0.690225,as,IRN
1966,Israel,0.772181,0.736275,as,ISR
1966,Jordan,0.378245,0.207153,as,JOR
1966,Japan,1.87131,1.70618,as,JPN
1966,Cambodia,-0.928722,-0.909197,as,KHM
1966,South Korea,0.829615,0.694803,as,KOR
1966,Kuwait,-0.878879,-0.6915,as,KWT
1966,Lebanon,0.201751,0.370313,as,LBN
1966,Sri Lanka,-1.12994,-1.31334,as,LKA
1966,Burma,-1.03755,-1.3659,as,MMR
1966,Malaysia,-0.702983,-0.146468,as,MYS
1966,Oman,-0.880721,-0.033455,as,OMN
1966,Pakistan,-0.302056,0.003332,as,PAK
1966,Philippines,-0.598227,-0.689119,as,PHL
1966,Qatar,-0.410999,-0.453679,as,QAT
1966,Saudi Arabia,-0.831977,-0.904648,as,SAU
1966,Singapore,0.176202,0.414247,as,SGP
1966,Syria,-0.201459,-0.051534,as,SYR
1966,Thailand,-0.974265,-0.861308,as,THA
1966,Turkey,-0.715804,-0.632627,as,TUR
1966,Vietnam,-0.284037,0.086941,as,VNM
1966,Albania,0.001056,-0.106134,eu,ALB
1966,Austria,1.99344,1.69556,eu,AUT
1966,Belgium,1.58396,1.59227,eu,BEL
1966,Bulgaria,0.741352,0.626735,eu,BGR
1966,Switzerland,2.12901,1.83001,eu,CHE
1966,Germany,2.26339,1.91272,eu,DEU
1966,Denmark,1.31681,1.30886,eu,DNK
1966,Spain,0.603584,0.77248000000000006,eu,ESP
1966,Finland,1.4211,1.25054,eu,FIN
1966,France,1.73585,1.57366,eu,FRA
1966,United Kingdom,1.98672,1.75744,eu,GBR
1966,Greece,0.232929,0.325049,eu,GRC
1966,Hungary,1.23699,1.20265,eu,HUN
1966,Ireland,1.01241,0.940806,eu,IRL
1966,Italy,1.74434,1.56207,eu,ITA
1966,Netherlands,1.33897,1.46187,eu,NLD
1966,Norway,1.4278,1.13762,eu,NOR
1966,Poland,1.08374,1.19794,eu,POL
1966,Portugal,0.851548,0.731594,eu,PRT
1966,Romania,0.319795,0.543705,eu,ROU
1966,Sweden,2.02008,1.66632,eu,SWE
1966,Canada,0.769482,1.26984,na,CAN
1966,Costa Rica,0.544684,0.483599,na,CRI
1966,Dominican Republic,-0.666334,-0.809555,na,DOM
1966,Guatemala,0.121919,0.303228,na,GTM
1966,Honduras,-0.29557,-0.462301,na,HND
1966,Jamaica,-0.386714,-0.83524,na,JAM
1966,Mexico,0.220775,0.39683,na,MEX
1966,Nicaragua,-0.196804,-0.521521,na,NIC
1966,Panama,0.931072,0.709908,na,PAN
1966,El Salvador,0.336836,0.380317,na,SLV
1966,Trinidad and Tobago,-0.279269,-0.452556,na,TTO
1966,United States,1.73973,1.68233,na,USA
1966,Australia,0.245572,0.839079,oc,AUS
1966,New Zealand,0.291451,0.427371,oc,NZL
1966,Argentina,-0.186694,0.259695,sa,ARG
1966,Bolivia,-0.781309,-1.59819,sa,BOL
1966,Brazil,-0.867307,0.011304,sa,BRA
1966,Chile,0.124412,0.095336,sa,CHL
